epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0162,0.98522,2.64875,1.31197,0.90167,0.25,0.30585,0.16942,1.65648,1.07003,1.37986,0,0,0
2,44.3988,1.03579,3.26263,1.38102,0.55587,0.85,0.88554,0.63516,1.66774,1.0676,1.38506,1.16644e-06,1.16644e-06,1.16644e-06
3,47.0566,1.37512,2.78228,1.77403,0.55098,0.85,0.84963,0.61708,1.68674,1.07685,1.39134,2.28575e-06,2.28575e-06,2.28575e-06
4,49.7189,1.49727,2.99993,2.07232,0.54808,0.85,0.85442,0.63765,1.69522,1.06932,1.39337,3.35794e-06,3.35794e-06,3.35794e-06
5,52.4133,1.48986,3.26987,1.93856,0.53902,0.85,0.8556,0.63812,1.67427,1.05045,1.36689,4.38301e-06,4.38301e-06,4.38301e-06
6,58.019,1.17598,2.71012,1.47873,0.81674,0.64605,0.85883,0.62622,1.65437,1.04458,1.35433,5.36095e-06,5.36095e-06,5.36095e-06
7,60.6419,1.16064,2.38765,1.4239,0.55713,0.85,0.873,0.62621,1.65457,1.04868,1.35608,6.29177e-06,6.29177e-06,6.29177e-06
8,63.1302,0.98368,2.44719,1.24104,0.57988,0.86492,0.85958,0.62775,1.65725,1.06275,1.35981,7.17546e-06,7.17546e-06,7.17546e-06
9,65.9967,1.11966,3.70966,1.47733,0.77834,0.65,0.89436,0.62928,1.6377,1.0396,1.34434,8.01203e-06,8.01203e-06,8.01203e-06
10,68.8222,1.00061,2.42969,1.24345,0.7687,0.65,0.89449,0.6326,1.64028,1.04991,1.34414,8.80148e-06,8.80148e-06,8.80148e-06
11,73.1355,1.13437,2.84246,1.39885,0.64744,0.77818,0.90851,0.63341,1.64079,1.06688,1.34346,9.5438e-06,9.5438e-06,9.5438e-06
12,77.2946,0.8974,2.17361,1.28418,0.65749,0.77911,0.90947,0.64474,1.64497,1.07503,1.34472,1.0239e-05,1.0239e-05,1.0239e-05
13,81.2359,0.91267,1.93119,1.44032,0.65556,0.77703,0.91182,0.64754,1.626,1.08306,1.33115,1.08871e-05,1.08871e-05,1.08871e-05
14,85.9168,1.00119,2.26475,1.39392,0.70537,0.74508,0.91286,0.65302,1.61565,1.08074,1.32723,1.1488e-05,1.1488e-05,1.1488e-05
15,89.9056,1.02072,1.89414,1.39242,0.70652,0.74559,0.91273,0.64862,1.62252,1.09706,1.33257,1.20418e-05,1.20418e-05,1.20418e-05
16,94.0238,1.04334,2.32365,1.56019,0.81518,0.65,0.91282,0.64789,1.63411,1.09695,1.3351,1.25486e-05,1.25486e-05,1.25486e-05
17,97.4624,0.94316,2.30616,1.35607,0.82944,0.65,0.91283,0.63124,1.6412,1.11174,1.33721,1.30081e-05,1.30081e-05,1.30081e-05
18,100.146,1.16902,2.59226,1.49305,0.82944,0.65,0.91283,0.63124,1.6412,1.11174,1.33721,1.34206e-05,1.34206e-05,1.34206e-05
19,104.451,1.10883,1.5967,1.31003,0.81672,0.65,0.91242,0.6256,1.64951,1.13305,1.34135,1.37859e-05,1.37859e-05,1.37859e-05
20,107.119,1.02325,1.57644,1.29561,0.81672,0.65,0.91242,0.6256,1.64951,1.13305,1.34135,1.41041e-05,1.41041e-05,1.41041e-05
21,111.085,1.17502,3.24554,1.52118,0.82408,0.65,0.91076,0.62581,1.65261,1.1592,1.34541,1.43752e-05,1.43752e-05,1.43752e-05
22,114.369,1.00006,1.87617,1.51361,0.82408,0.65,0.91076,0.62581,1.65261,1.1592,1.34541,1.45992e-05,1.45992e-05,1.45992e-05
23,118.359,1.06413,2.13731,1.32109,0.81779,0.65,0.85531,0.6131,1.67041,1.20145,1.35974,1.4776e-05,1.4776e-05,1.4776e-05
24,121.628,1.06044,1.74395,1.37997,0.81779,0.65,0.85531,0.6131,1.67041,1.20145,1.35974,1.49057e-05,1.49057e-05,1.49057e-05
25,126.707,0.88319,2.09958,1.25171,0.82025,0.65,0.85535,0.61298,1.69115,1.22693,1.37603,1.49883e-05,1.49883e-05,1.49883e-05
26,130.007,0.97638,1.68011,1.4106,0.82025,0.65,0.85535,0.61298,1.69115,1.22693,1.37603,1.50238e-05,1.50238e-05,1.50238e-05
27,133.936,0.9108,1.63107,1.25662,0.81581,0.65,0.85559,0.61275,1.68651,1.25759,1.37813,1.50121e-05,1.50121e-05,1.50121e-05
28,137.493,0.8579,1.64568,1.22508,0.81581,0.65,0.85559,0.61275,1.68651,1.25759,1.37813,1.49533e-05,1.49533e-05,1.49533e-05
29,141.368,1.23259,1.86414,1.44144,0.78885,0.65,0.85327,0.61163,1.68018,1.28441,1.37469,1.48474e-05,1.48474e-05,1.48474e-05
30,144.172,0.80716,1.47816,1.15299,0.78885,0.65,0.85327,0.61163,1.68018,1.28441,1.37469,1.46944e-05,1.46944e-05,1.46944e-05
31,148.04,0.92254,1.59772,1.30997,0.77646,0.65,0.77765,0.52601,1.68483,1.3319,1.37529,1.44942e-05,1.44942e-05,1.44942e-05
32,150.914,1.00476,1.52718,1.27592,0.77646,0.65,0.77765,0.52601,1.68483,1.3319,1.37529,1.42469e-05,1.42469e-05,1.42469e-05
33,156.13,0.905,1.73512,1.37366,0.75668,0.65,0.7673,0.52366,1.65174,1.33957,1.3555,1.39525e-05,1.39525e-05,1.39525e-05
34,158.866,0.77006,1.57485,1.25381,0.75668,0.65,0.7673,0.52366,1.65174,1.33957,1.3555,1.3611e-05,1.3611e-05,1.3611e-05
35,163.881,0.9432,1.64777,1.22293,0.75299,0.65,0.76721,0.52386,1.67552,1.38786,1.36833,1.32223e-05,1.32223e-05,1.32223e-05
36,168.137,0.81595,1.62952,1.18743,0.75299,0.65,0.76721,0.52386,1.67552,1.38786,1.36833,1.27866e-05,1.27866e-05,1.27866e-05
37,176.042,0.98832,1.60368,1.43684,0.73104,0.65,0.74004,0.50089,1.69845,1.41832,1.38562,1.23036e-05,1.23036e-05,1.23036e-05
38,181.11,1.05938,2.01995,1.38639,0.73104,0.65,0.74004,0.50089,1.69845,1.41832,1.38562,1.17736e-05,1.17736e-05,1.17736e-05
39,188.39,1.02114,2.49046,1.42759,0.71699,0.65692,0.72313,0.47254,1.69135,1.46065,1.38019,1.11965e-05,1.11965e-05,1.11965e-05
40,193.012,1.15578,1.267,1.53443,0.71699,0.65692,0.72313,0.47254,1.69135,1.46065,1.38019,1.05722e-05,1.05722e-05,1.05722e-05
41,200.03,0.80375,1.09694,1.10417,0.71076,0.66336,0.73745,0.48404,1.71265,1.46183,1.39624,9.9008e-06,9.9008e-06,9.9008e-06
42,204.086,0.69457,0.8125,1.11703,0.71076,0.66336,0.73745,0.48404,1.71265,1.46183,1.39624,9.18228e-06,9.18228e-06,9.18228e-06
43,211.159,0.78822,0.95987,1.27433,0.67196,0.66667,0.73632,0.50017,1.70781,1.48738,1.39339,8.41663e-06,8.41663e-06,8.41663e-06
44,214.927,0.55701,0.70231,1.00232,0.67196,0.66667,0.73632,0.50017,1.70781,1.48738,1.39339,7.60386e-06,7.60386e-06,7.60386e-06
45,220.47,0.7152,0.82347,1.09793,0.6635,0.67636,0.73618,0.51672,1.68522,1.49072,1.38761,6.74397e-06,6.74397e-06,6.74397e-06
46,225.516,0.60146,0.80211,1.09117,0.6635,0.67636,0.73618,0.51672,1.68522,1.49072,1.38761,5.83695e-06,5.83695e-06,5.83695e-06
47,232.501,0.61593,0.70723,1.07564,0.65681,0.68495,0.72247,0.48243,1.67662,1.50794,1.38403,4.88281e-06,4.88281e-06,4.88281e-06
48,237.405,0.60713,0.63788,0.99244,0.65681,0.68495,0.72247,0.48243,1.67662,1.50794,1.38403,3.88154e-06,3.88154e-06,3.88154e-06
49,244.85,0.59514,0.77082,1.03428,0.65708,0.67679,0.72249,0.49359,1.66243,1.50795,1.38114,2.83315e-06,2.83315e-06,2.83315e-06
50,249.699,0.71846,0.85696,1.24203,0.65708,0.67679,0.72249,0.49359,1.66243,1.50795,1.38114,1.73764e-06,1.73764e-06,1.73764e-06
