epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5084,1.48838,3.3858,2.82646,1.3016,0.33815,0.4751,0.34342,0.23667,0.33398,0.45294,0.3288,0.15956,1.13566,3.14334,1.81451,1.0002,0.000331096,0.000331096,0.000331096
2,65.7129,1.29411,2.78629,1.81075,1.15933,0.49156,0.58489,0.48844,0.34402,0.47816,0.57697,0.47242,0.22869,1.04655,3.25831,1.35403,1.01789,0.000657852,0.000657852,0.000657852
3,99.2442,1.22409,2.66825,1.55422,1.12485,0.50141,0.60949,0.52989,0.38936,0.48673,0.59106,0.50529,0.25354,0.97965,3.59275,1.36098,0.9792,0.000978007,0.000978007,0.000978007
4,133.444,1.16176,2.56267,1.43982,1.10517,0.51514,0.64791,0.61155,0.45806,0.50428,0.62858,0.58376,0.2791,0.93198,3.62174,1.30024,0.95564,0.0009703,0.0009703,0.0009703
5,168.753,1.15512,2.57028,1.37989,1.09645,0.62255,0.64855,0.65308,0.49466,0.60557,0.62646,0.62491,0.31322,0.90015,3.30198,1.08437,0.96255,0.0009604,0.0009604,0.0009604
6,203.343,1.10612,2.52043,1.31994,1.08381,0.69853,0.66967,0.71045,0.53442,0.67975,0.64965,0.67554,0.3244,0.8999,3.53597,0.92457,0.95153,0.0009505,0.0009505,0.0009505
7,238.609,1.11389,2.45787,1.26902,1.08246,0.57222,0.65219,0.62984,0.49023,0.55717,0.62927,0.60542,0.30358,0.8523,3.95764,1.06787,0.94913,0.0009406,0.0009406,0.0009406
8,274.298,1.0687,2.40017,1.19208,1.06344,0.77159,0.6129,0.73541,0.56989,0.75293,0.60307,0.70889,0.34426,0.85659,3.53703,1.02875,0.94947,0.0009307,0.0009307,0.0009307
9,309.573,1.06166,2.37188,1.16375,1.06242,0.70895,0.71934,0.75956,0.59239,0.69598,0.70119,0.73081,0.35893,0.82751,3.6818,0.83372,0.94093,0.0009208,0.0009208,0.0009208
10,344.807,1.04427,2.37748,1.14005,1.05445,0.63504,0.66291,0.67625,0.53157,0.61796,0.64451,0.64357,0.31011,0.82221,3.94121,0.96212,0.93298,0.0009109,0.0009109,0.0009109
